Product Name,Price,Description,Image URL,Availability,Category
Snack Pack,$2.49,Rich and creamy in taste sandwich ice cream dessert pudding perfect for a delicious lunch-time snack or after-dinner treat. Stock up on these Snack Pack Pudding Cups and bring a smile to snack time. Snack Pack's Ice Cream Sandwich Pudding Cups are gluten-free and made with Premium imported cocoa & No high-fructose corn syrup.,https://media.sobeys.com/original/058807412953_ml_alt_T708_front_VOILA_a0b2dc7a9940b27cb60e94c61dd9f08755ab3655.JPG,In-stock,Snacks & Candy
Royal Nuts,$8.99,The natural taste of walnuts with no added salt or preservatives.,https://media.sobeys.com/original/754000000025700000000038814674_VOILA_325e3d1c949fa14541fc265037b7a177c688a4ed.JPG,In-stock,Snacks & Candy
Compliments,$4.29,No Description Available,https://media.sobeys.com/original/698786_EA_en_VOILA_3c3d6ea1ccdf3f7ce00e9b5fba3bbfaba6345b2d.JPG,In-stock,Snacks & Candy
Gogo Squeez,$3.99,No Description Available,https://media.sobeys.com/original/313476_EA_en_primary_Front_NA_032124_VOILA_12a11ba7516ddb0ca69ab34efcea881a8631c2e3.JPG,In-stock,Snacks & Candy
Royal Nuts,$12.99,No Description Available,https://media.sobeys.com/original/754000000025700000000038815020_VOILA_effc17b3dd555abea408bc54a20f631c75208452.JPG,In-stock,Snacks & Candy
Christie,$3.19,No Description Available,https://media.sobeys.com/original/850016_EA_en_primary_front_110823_VOILA_a785360b5f0681f812abd1bd674b481b7c5d59a3.JPG,In-stock,Snacks & Candy
Quaker,$3.49,"Crispy whole grain brown rice sprinkled with white cheddar cheese flavour looks like an airy cloud. But they certainly don't taste like one. And these flavour-packed goodies have 45 calories per serving, and that makes them absolutely fabulous. You can even top them with delicate fruit, fresh vegetables or creamy spreads. The sky's the limit.",https://media.sobeys.com/original/198591_EA_ml_primary_front_na_VOILA_739b0b53d4d7ae06ca8d36fa5cc38ec3283b7341.JPG,In-stock,Snacks & Candy
Gogo Squeez,$3.99,No Description Available,https://media.sobeys.com/original/260023_EA_en_primary_Front_NA_032124_VOILA_a934d274e59fd653cfaae401ef0c99b3311b942b.JPG,In-stock,Snacks & Candy
Christie,$2.99,"CRISPERS, only available in Canada, has intense flavour and a satisfying crunch! They’re baked, not fried, making CRISPERS a great snack alternative for any occasion.",https://media.sobeys.com/original/645122_EA_ml_primary_front_na_051622_VOILA_cba3426df14c7d6613a2d9a2d783a6b0f65b599d.JPG,In-stock,Snacks & Candy
Quaker,$1.99,"Quaker Chewy Chocolatey Chip granola bars are the great-tasting snack you know and love. These bars help to keep your family moving through the day and with 10 g of whole grains per bar, you'll feel great about giving them to everyone. All Quaker Chewy granola bars are made with 100% Canadian whole grain oats and other grains and made in a peanut-free facility.",https://media.sobeys.com/original/651000_EA_ml_primary_front_na_041423_VOILA_a8c905e29c58838c84f165fc1bde3e9c77530486.JPG,In-stock,Snacks & Candy
Quaker,$3.49,"Change up your snack and dive into a crispy, crunchy, sour creamy and onion flavour rice snack that's perfect. And with 70 calories per 15 gram serving, you get a zesty delight without the heavy side effects. Snacking has never been so sublime.",https://media.sobeys.com/original/204896_EA_ml_primary_front_na_050622_VOILA_febbc780d2fa8a42ffc3cb372c1d4da67603c7fc.JPG,In-stock,Snacks & Candy
Milka,$2.49,No Description Available,https://media.sobeys.com/original/754000000025700000000063624428_VOILA_f36f09dc1b363f290b6eb742b9be40f442bf2982.JPG,In-stock,Snacks & Candy
Larabar,$24.99,"Lara’s Favourite. Cashew delivers a wallop of rich and creamy flavour. This 3-ingredient treat is a simple blend of cashews, dates and apples. LÄRABAR believe that a sound mind, body and spirit are derived from what you eat – and that food is most satisfying in its simplest form. A magical harmony of fruits and nuts, LÄRABAR contains only the best ingredients. Simple and delicious. Enjoy!",https://media.sobeys.com/original/233385_CAR_ml_primary_front_013123_VS_VOILA_2f5df93d551726781ad919682f3ba7671cafec74.JPG,In-stock,Snacks & Candy
Haribo,$3.49,No Description Available,https://media.sobeys.com/original/754000000025700000000033683850_VOILA_e9ec6522251238380bab53f9f87ff1522a4a4607.JPG,In-stock,Snacks & Candy
MadeGood,$4.49,"A granola bar that thinks it’s a cookie. MadeGood Cookie Crumble Granola Bar with real cookie bits mixed into chewy granola bars. To add to the decadence, they are dipped and drizzled in chocolate. Gluten-free, with a full serving of veggies inside and free from the most common allergens. So everyone can enjoy the goodness.",https://media.sobeys.com/original/847817_EA_en_primary_front_na_062325_VOILA_77a2c1a0ab80f66315f68bca9131f174f333d36f.JPG,In-stock,Snacks & Candy
Blackberries 170 g,$3.99,No Description Available,https://media.sobeys.com/original/115208_EA_ml_primary_front_na_092525_VOILA_5732b32240715a74e24a2923dd6288df0afee92f.JPG,In-stock,Fruits & Vegetables
Grapes Black Seedless 1 Bunch,$8.80/kg,No Description Available,https://media.sobeys.com/original/7572_KG_ml_Front_VOILA_c25bf58e363a4130a24f0681a7f1f9c21e5e1118.JPG,In-stock,Fruits & Vegetables
Kiwi 600 g,$5.99,No Description Available,https://media.sobeys.com/original/395917_EA_ml_primary_left_NA_022222_VOILA_c90cf3f42c10da31766de9331072861218d40ce6.JPG,In-stock,Fruits & Vegetables
Lemon Large 1 Count,$0.99,No Description Available,https://media.sobeys.com/original/7685_EA_ml_primary_front_082423_VOILA_d6bd856b6a2e1b7fef9db914522f4b8fac4b0c40.JPG,In-stock,Fruits & Vegetables
Lemons Bag 908 g,$4.99,No Description Available,https://media.sobeys.com/original/033383115023_VOILA_0fdaf57e87f97e0cd70187342856b64225a86ccb.JPG,In-stock,Fruits & Vegetables
Young Coconut 1 Count,$4.99,No Description Available,https://media.sobeys.com/original/314094_EA_ml_primary_front_NA_110322_VOILA_26417dc3af3a7fbf53903031e2413fb753aeac14.JPG,In-stock,Fruits & Vegetables
Ambrosia Apple,$3.73,No Description Available,https://media.sobeys.com/original/450615_KG_ml_primary_front_013125_VOILA_e5e97b557922934e89b68861b6cf834e9587f74e.JPG,In-stock,Fruits & Vegetables
Orange 5 lb Juice 2.27 KG,$6.99,No Description Available,https://www.freshco.com/_next/image?url=%2Floader.svg&w=128&q=75,In-stock,Fruits & Vegetables
Sugar Cane,$2.49,No Description Available,https://www.freshco.com/_next/image?url=%2Floader.svg&w=128&q=75,In-stock,Fruits & Vegetables
Zespri,$5.99,No Description Available,https://media.sobeys.com/original/818849020017_900362_VOILA_70ec32a206c0a5670aee3298247b2fd5b5ded2b4.JPG,In-stock,Fruits & Vegetables
Organic Strawberries 454 g,$7.99,No Description Available,https://media.sobeys.com/original/14837_EA_ml_primary_front_030624_VOILA_30205f0568f9f3df6f540115df693251ba4b06a5.JPG,In-stock,Fruits & Vegetables
Strawberries 454 g,$4.99,No Description Available,https://media.sobeys.com/original/112324_EA_ml_primary_front_na_092525_VOILA_5eb2ca54fbbacd82d506a0bd264fee03d676ac43.JPG,In-stock,Fruits & Vegetables
SweeTango Apple,$5.49,No Description Available,https://media.sobeys.com/original/259601_KG_ml_primary_front_012825_VOILA_2c46da65c24a8d97af52ec25f300ec44c3708601.JPG,In-stock,Fruits & Vegetables
Indian Eggplant,$3.95,No Description Available,https://www.freshco.com/_next/image?url=%2Floader.svg&w=128&q=75,In-stock,Fruits & Vegetables
Gooseberries 170 g,$3.99,No Description Available,https://media.sobeys.com/original/204243000005_7564_VOILA_b1153be1121a8d0421b9277ae0f5ad6d21d3c2ae.JPG,In-stock,Fruits & Vegetables
Sealtest,$3.99,"Sealtest 35% Whipping Cream is the perfect complement to all your desserts. Garnish your fruit and pastries with a generous portion of rich, delicious whipped cream, and give in to temptation!",https://media.sobeys.com/original/754000000025700000000043471934_VOILA_1de21959b715680764c1ec75d1eda01ebf1a0433.JPG,In-stock,Dairy & Eggs
Hata,$2.49,No Description Available,https://media.sobeys.com/original/324_EA_ml_primary_front_NA_041724_VOILA_05b056f8565989dc53338386907d5f82451a0c87.JPG,In-stock,Dairy & Eggs
Oikos,$7.49,"Gone are the scary days when choosing the right snack meant suffering from blank page syndrome! Put your creativity to work and beat your cravings with Oikos High Protein Plain Greek yogurt. Enjoy the same great taste you know and love, now with even more protein and a thick texture! Made with 100% Canadian milk, the new Oikos High Protein Plain Greek yogurt boasts 19 grams of protein per 175 gram serving. Try it today!",https://media.sobeys.com/original/598017_EA_en_primary_front_na_081325_VOILA_d13e0121e17a1db5b725a9e381c1f21effcbcb69.JPG,In-stock,Dairy & Eggs
Silk,$2.99,Deck the halls with Silk Peppermint Mocha Oat Creamer! Add a splash (or two) of the holidays to your favourite coffee and spread some cheers with those around you.,https://media.sobeys.com/original/1285768_EA_en_primary_front_na_120324_VOILA_6662e18269ff778a067c04ba276f6ea2d69d5172.JPG,In-stock,Dairy & Eggs
